Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
STD1z	0	10/05/22	20:58:38	23.38	0.00	-43.67	-5.90	13.17	0.08	33.96	1019.30	-0.48	3.08	66.40	30.00	202.78	9.96	9.87	8.61	0.3630	27.12	26.56
STD3s	0	10/05/22	21:03:29	22.85	0.00	4994.60	1353.90	13.29	0.08	33.94	1019.40	-0.64	3.03	66.54	30.00	207.54	9.96	9.87	9.26	0.3890	27.12	26.62
STD1	0	10/05/22	21:08:16	22.86	0.00	-44.12	-0.06	9.62	0.06	33.90	1019.10	-0.45	2.91	65.94	30.00	216.16	9.96	9.85	9.57	0.4020	27.12	26.12
STD1	0	10/05/22	21:09:43	22.88	0.00	-44.87	-0.17	9.25	0.06	33.87	1019.20	-0.53	2.88	65.80	30.00	222.54	9.96	9.72	9.76	0.4100	27.12	25.81
STD1	0	10/05/22	21:11:10	22.88	0.00	-45.85	-0.31	8.54	0.05	33.83	1019.20	-0.34	2.25	66.13	30.00	222.00	9.96	9.46	9.85	0.4120	27.12	25.75
STD2	0	10/05/22	21:15:56	22.89	608.37	3022.40	677.38	12.29	0.07	33.61	1019.20	-0.78	3.03	67.70	30.00	247.41	9.96	9.84	9.92	0.4160	26.94	25.25
STD2	0	10/05/22	21:17:23	22.90	608.37	3018.50	675.91	13.92	0.08	33.53	1019.20	-0.72	2.98	67.00	30.00	265.76	9.96	9.85	9.92	0.4160	26.87	25.12
STD2	0	10/05/22	21:18:49	22.90	608.37	3014.30	674.59	14.37	0.09	33.55	1019.20	-0.89	3.04	66.45	30.00	259.28	9.96	9.86	9.93	0.4160	26.87	25.25
STD3	0	10/05/22	21:23:36	22.90	1514.51	4982.60	1507.10	10.08	0.06	33.55	1019.10	-0.88	2.86	66.45	30.00	220.26	9.96	9.87	9.85	0.4130	26.87	26.31
STD3-DRAIN	0	10/05/22	21:25:03	22.92	1514.51	4988.90	1510.30	12.12	0.07	33.61	1019.20	-0.65	3.00	66.45	30.00	220.89	9.96	9.87	9.80	0.4110	26.81	26.50
STD3	0	10/05/22	21:26:50	22.93	1514.51	4982.60	1507.10	11.83	0.07	33.59	1019.20	-0.36	2.85	66.03	30.00	220.77	9.96	9.87	9.84	0.4130	26.87	26.19
ATM	0	10/05/22	21:31:37	22.94	NaN	1994.00	381.58	766.12	5.97	33.44	1019.00	-0.58	2.50	88.35	30.00	239.43	9.96	9.87	9.92	0.4160	26.81	25.44
ATM	0	10/05/22	21:33:05	22.89	NaN	2004.20	384.05	765.79	5.97	33.47	1019.20	-0.80	2.89	87.92	30.00	238.46	9.96	9.87	9.93	0.4170	26.81	25.50
