Type	error	PC Date	PC Time	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	drip 2	cond temp	dry box temp
EQU-DRAIN	0	13/10/22	00:02:55	27.98	NaN	2354.00	450.87	227.62	1.48	29.19	1012.80	-0.22	2.49	98.25	28.00	44.34	9.96	9.96	9.73	0.4070	4.56	23.94
EQU	0	13/10/22	00:05:46	27.95	NaN	2338.10	446.29	219.75	1.42	28.89	1012.80	-0.55	2.19	98.07	28.00	8.84	9.96	9.96	9.84	0.4120	4.94	23.37
EQU	0	13/10/22	00:08:16	27.89	NaN	2330.60	444.27	212.83	1.38	28.85	1012.80	-1.09	2.28	97.55	28.00	22.65	9.95	9.96	9.87	0.4140	4.56	23.00
EQU	0	13/10/22	00:10:46	27.96	NaN	2331.20	444.53	211.33	1.37	28.89	1012.70	-0.52	2.54	99.37	28.00	26.40	9.95	9.96	9.81	0.4110	4.44	23.44
EQU	0	13/10/22	00:13:16	27.95	NaN	2327.70	444.12	221.79	1.44	29.19	1012.70	-0.06	2.57	98.31	28.00	10.62	9.96	9.96	9.71	0.4070	4.94	24.50
EQU	0	13/10/22	00:15:47	27.94	NaN	2322.00	443.13	231.58	1.51	29.45	1012.50	0.16	2.56	97.49	28.00	41.33	9.96	9.96	9.66	0.4060	4.69	25.06
EQU	0	13/10/22	00:18:17	27.85	NaN	2328.30	445.11	237.91	1.56	29.70	1012.60	0.00	2.37	98.78	28.00	32.06	9.96	9.96	9.50	0.3980	4.44	25.31
EQU	0	13/10/22	00:20:47	27.84	NaN	2325.30	444.73	244.33	1.60	29.96	1012.60	-0.03	2.08	98.42	28.00	14.28	9.96	9.96	9.26	0.3880	4.94	25.69
EQU	0	13/10/22	00:23:17	27.66	NaN	2316.50	442.77	250.70	1.65	30.20	1012.70	-0.04	2.25	98.54	28.00	11.98	9.96	9.96	9.02	0.3780	4.62	25.81
EQU	0	13/10/22	00:25:47	27.55	NaN	2331.30	446.41	246.75	1.62	30.06	1012.70	-0.10	2.32	98.42	28.00	18.24	9.96	9.96	9.20	0.3860	4.50	25.00
EQU	0	13/10/22	00:28:17	27.46	NaN	2347.60	450.32	237.95	1.56	29.83	1012.60	-0.14	2.22	99.01	28.00	27.99	9.96	9.96	9.58	0.4010	4.87	24.19
EQU	0	13/10/22	00:30:47	27.46	NaN	2344.40	449.11	229.50	1.50	29.56	1012.60	-0.44	2.48	97.02	28.00	4.55	9.96	9.96	9.77	0.4090	4.56	23.37
EQU-DRAIN	0	13/10/22	00:33:18	27.44	NaN	2328.10	444.72	224.25	1.46	29.52	1012.60	-0.29	2.58	99.31	28.00	2.06	9.96	9.96	9.76	0.4070	4.37	23.50
STD1	0	13/10/22	00:38:26	27.42	0.00	-44.12	-0.01	13.54	0.08	29.95	1012.50	-0.10	2.12	70.15	28.00	22.32	9.96	9.96	9.50	0.3980	5.00	25.31
STD2	0	13/10/22	00:43:13	27.33	608.37	3162.00	688.90	15.04	0.09	30.39	1012.40	0.20	1.87	69.96	28.00	-13.71	9.96	9.96	9.29	0.3890	5.06	25.87
STD3	0	13/10/22	00:47:59	27.39	1491.50	5235.30	1552.20	14.25	0.09	30.52	1012.40	-0.30	2.59	62.85	28.00	3.43	9.96	9.96	9.19	0.3850	4.69	25.56
STD4	0	13/10/22	00:52:46	27.05	1976.50	6022.80	1989.40	13.42	0.08	29.98	1012.50	-0.67	0.06	72.16	28.00	138.16	9.96	9.96	9.78	0.4090	4.62	23.56
SHUT DOWN	0	13/10/22	00:52:51
