#
#
# US Geological Survey, Water Resources Data
# retrieved: 2023-06-11 20:48:46 EDT      (sdww02)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 07374525 Mississippi River at Belle Chasse, LA
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		61182	
#
# Data heading explanations.
# begin_yr_dt ... First complete water year of data of daily mean values for this day.
# end_yr_dt   ... Last complete water year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	07374525	00060	61182	1	1	2009	2023	15	2016	914000	2011	297000	567000		341000	385000	393000	430000	848000	858000	910000	
USGS	07374525	00060	61182	1	2	2009	2023	15	2016	937000	2011	312000	573000		347000	376000	377000	468000	838000	849000	902000	
USGS	07374525	00060	61182	1	3	2009	2023	15	2016	979000	2011	287000	584000		340000	382000	388000	497000	816000	850000	933000	
USGS	07374525	00060	61182	1	4	2009	2023	15	2016	1020000	2011	286000	603000		343000	394000	419000	485000	757000	883000	998000	
USGS	07374525	00060	61182	1	5	2009	2023	15	2016	995000	2011	274000	598000		337000	396000	402000	494000	768000	889000	969000	
USGS	07374525	00060	61182	1	6	2009	2023	15	2016	985000	2011	292000	606000		347000	393000	395000	531000	791000	845000	956000	
USGS	07374525	00060	61182	1	7	2009	2023	14	2016	1040000	2011	271000	631000		320000	398000	404000	639000	783000	907000	994000	
USGS	07374525	00060	61182	1	8	2009	2023	15	2016	1080000	2011	277000	633000		336000	418000	419000	621000	726000	920000	1020000	
USGS	07374525	00060	61182	1	9	2009	2023	15	2016	1150000	2011	215000	641000		310000	433000	451000	641000	721000	930000	1070000	
USGS	07374525	00060	61182	1	10	2009	2023	15	2016	1140000	2011	296000	643000		317000	453000	477000	671000	739000	911000	1050000	
USGS	07374525	00060	61182	1	11	2009	2023	15	2016	1140000	2018	309000	653000		316000	472000	490000	694000	780000	846000	1040000	
USGS	07374525	00060	61182	1	12	2009	2023	15	2016	1180000	2018	344000	665000		345000	486000	488000	687000	806000	859000	1060000	
USGS	07374525	00060	61182	1	13	2009	2023	15	2016	1170000	2018	318000	668000		332000	490000	495000	657000	801000	807000	1120000	
USGS	07374525	00060	61182	1	14	2009	2023	15	2016	1190000	2018	281000	665000		326000	503000	534000	653000	742000	789000	1130000	
USGS	07374525	00060	61182	1	15	2009	2023	15	2016	1220000	2018	257000	664000		330000	486000	520000	656000	738000	820000	1130000	
USGS	07374525	00060	61182	1	16	2009	2023	15	2016	1210000	2018	273000	658000		343000	481000	516000	628000	734000	867000	1110000	
USGS	07374525	00060	61182	1	17	2009	2023	15	2016	1260000	2018	276000	661000		334000	475000	521000	620000	725000	875000	1130000	
USGS	07374525	00060	61182	1	18	2009	2023	15	2016	1200000	2018	241000	649000		329000	460000	511000	590000	781000	907000	1110000	
USGS	07374525	00060	61182	1	19	2009	2023	14	2019	1080000	2018	233000	607000		315000	434000	473000	564000	687000	780000	1030000	
USGS	07374525	00060	61182	1	20	2009	2023	15	2016	1160000	2018	226000	645000		329000	455000	469000	589000	776000	963000	1150000	
USGS	07374525	00060	61182	1	21	2009	2023	15	2016	1210000	2018	233000	644000		327000	463000	481000	573000	767000	977000	1130000	
USGS	07374525	00060	61182	1	22	2009	2023	15	2016	1330000	2018	258000	648000		319000	432000	470000	549000	757000	991000	1160000	
USGS	07374525	00060	61182	1	23	2009	2023	15	2016	1280000	2018	305000	650000		312000	454000	481000	544000	745000	1010000	1170000	
USGS	07374525	00060	61182	1	24	2009	2023	15	2016	1160000	2011	290000	641000		304000	443000	469000	560000	734000	1010000	1140000	
USGS	07374525	00060	61182	1	25	2009	2023	15	2016	1140000	2011	304000	637000		320000	427000	457000	572000	751000	990000	1110000	
USGS	07374525	00060	61182	1	26	2009	2023	15	2016	1170000	2011	304000	641000		327000	431000	469000	542000	771000	986000	1130000	
USGS	07374525	00060	61182	1	27	2009	2023	15	2016	1250000	2011	277000	648000		330000	417000	467000	567000	764000	993000	1170000	
USGS	07374525	00060	61182	1	28	2009	2023	15	2016	1220000	2011	292000	645000		342000	429000	459000	567000	761000	960000	1160000	
USGS	07374525	00060	61182	1	29	2009	2023	15	2020	1130000	2011	278000	642000		330000	426000	435000	596000	761000	1020000	1110000	
USGS	07374525	00060	61182	1	30	2009	2023	15	2020	1130000	2011	280000	642000		334000	407000	407000	573000	819000	988000	1090000	
